Year,State,Category,Total,Average,Count
2009,AL,Other/NA,17600,2514.28571429,7
2009,AL,Student,6600,2200.0,3
2009,AR,Auto & Home,2600,1300.0,2
2009,AR,Business,13500,13500.0,1
2009,AR,Debt,45200,5650.0,8
2009,AR,Other/NA,2500,1250.0,2
2009,AR,Student,12000,6000.0,2
2009,AZ,Auto & Home,2700,1350.0,2
2009,AZ,Business,10500,3500.0,3
2009,AZ,Debt,61350,5577.27272727,11
2009,AZ,Other/NA,35517,3551.7,10
2009,CA,Auto & Home,145900,4168.57142857,35
2009,CA,Business,182711,5536.6969697,33
2009,CA,Debt,684942,5188.95454545,132
2009,CA,Other/NA,205650,4196.93877551,49
2009,CA,Student,49028,2723.77777778,18
2009,CO,Auto & Home,36000,4000.0,9
2009,CO,Business,89410,8941.0,10
2009,CO,Debt,118128,4073.37931034,29
2009,CO,Other/NA,32900,3655.55555556,9
2009,CO,Student,7400,2466.66666667,3
2009,CT,Auto & Home,22250,3708.33333333,6
2009,CT,Business,8500,4250.0,2
2009,CT,Debt,148200,7800.0,19
2009,CT,Other/NA,26500,2944.44444444,9
2009,CT,Student,2000,2000.0,1
2009,DC,Debt,74000,8222.22222222,9
2009,DC,Other/NA,7000,7000.0,1
2009,DC,Student,2500,2500.0,1
2009,DE,Auto & Home,8000,2666.66666667,3
2009,DE,Business,8000,4000.0,2
2009,DE,Debt,2000,2000.0,1
2009,DE,Other/NA,2500,2500.0,1
2009,FL,Auto & Home,112100,5095.45454545,22
2009,FL,Business,63725,5793.18181818,11
2009,FL,Debt,329050,5772.80701754,57
2009,FL,Other/NA,65815,3134.04761905,21
2009,FL,Student,9130,1826.0,5
2009,GA,Auto & Home,91800,5100.0,18
2009,GA,Business,116250,5812.5,20
2009,GA,Debt,317393,5568.29824561,57
2009,GA,Other/NA,98400,3784.61538462,26
2009,GA,Student,5000,1250.0,4
2009,HI,Business,8000,4000.0,2
2009,HI,Debt,11000,5500.0,2
2009,HI,Other/NA,2500,1250.0,2
2009,HI,Student,1000,1000.0,1
2009,ID,Auto & Home,1000,1000.0,1
2009,ID,Business,21000,10500.0,2
2009,ID,Debt,28950,3216.66666667,9
2009,ID,Other/NA,15000,15000.0,1
2009,ID,Student,2000,2000.0,1
2009,IL,Auto & Home,83600,5225.0,16
2009,IL,Business,42700,6100.0,7
2009,IL,Debt,344385,4991.08695652,69
2009,IL,Other/NA,102047,2915.62857143,35
2009,IL,Student,7500,1500.0,5
2009,IN,Auto & Home,28600,2600.0,11
2009,IN,Business,12500,4166.66666667,3
2009,IN,Debt,124349,4973.96,25
2009,IN,Other/NA,13500,2250.0,6
2009,IN,Student,3600,3600.0,1
2009,KS,Debt,9000,3000.0,3
2009,KS,Other/NA,5000,5000.0,1
2009,KY,Auto & Home,2000,2000.0,1
2009,KY,Business,1000,1000.0,1
2009,KY,Debt,11000,2200.0,5
2009,KY,Other/NA,18000,3600.0,5
2009,LA,Debt,39000,9750.0,4
2009,LA,Other/NA,7500,3750.0,2
2009,LA,Student,4976,4976.0,1
2009,MA,Auto & Home,6300,3150.0,2
2009,MA,Business,5000,2500.0,2
2009,MA,Debt,83350,5556.66666667,15
2009,MA,Other/NA,42601,3277.0,13
2009,MA,Student,2000,2000.0,1
2009,MD,Auto & Home,15000,2500.0,6
2009,MD,Business,14000,2800.0,5
2009,MD,Debt,146680,5057.93103448,29
2009,MD,Other/NA,44999,4499.9,10
2009,MD,Student,20800,4160.0,5
2009,MI,Auto & Home,33099,3009.0,11
2009,MI,Business,49900,6237.5,8
2009,MI,Debt,77650,4086.84210526,19
2009,MI,Other/NA,36300,2420.0,15
2009,MI,Student,10450,2090.0,5
2009,MN,Auto & Home,20000,2222.22222222,9
2009,MN,Business,4000,2000.0,2
2009,MN,Debt,168950,5825.86206897,29
2009,MN,Other/NA,47600,3400.0,14
2009,MN,Student,6500,1300.0,5
2009,MO,Auto & Home,27675,3075.0,9
2009,MO,Business,43700,5462.5,8
2009,MO,Debt,102550,3944.23076923,26
2009,MO,Other/NA,42877,2382.05555556,18
2009,MO,Student,5495,2747.5,2
2009,MS,Auto & Home,17180,2454.28571429,7
2009,MS,Business,3000,3000.0,1
2009,MS,Debt,10800,3600.0,3
2009,MS,Other/NA,5700,1900.0,3
2009,MT,Auto & Home,2150,2150.0,1
2009,MT,Debt,4535,2267.5,2
2009,MT,Other/NA,1000,1000.0,1
2009,NC,Auto & Home,40400,3107.69230769,13
2009,NC,Business,52850,4404.16666667,12
2009,NC,Debt,125460,4825.38461538,26
2009,NC,Other/NA,68000,5230.76923077,13
2009,NC,Student,3100,1550.0,2
2009,NE,Auto & Home,7500,3750.0,2
2009,NE,Business,2900,2900.0,1
2009,NE,Debt,31950,5325.0,6
2009,NE,Student,15000,3750.0,4
2009,NH,Auto & Home,4200,2100.0,2
2009,NH,Debt,13390,4463.33333333,3
2009,NH,Other/NA,1125,1125.0,1
2009,NJ,Auto & Home,45900,4590.0,10
2009,NJ,Business,8100,4050.0,2
2009,NJ,Debt,61650,4110.0,15
2009,NJ,Other/NA,53900,4146.15384615,13
2009,NJ,Student,14700,3675.0,4
2009,NM,Debt,17250,5750.0,3
2009,NM,Other/NA,5000,2500.0,2
2009,NV,Auto & Home,1700,1700.0,1
2009,NV,Debt,37875,4208.33333333,9
